SUBJECT,ITEM,LEXICALITY,REPETITION,CASE,RT,ACCURACY
2,85,word,unrelated,lowercase,1005.5,1
2,86,word,unrelated,lowercase,567.14,1
2,87,word,unrelated,lowercase,655.92,1
2,88,word,unrelated,lowercase,666.28,1
2,89,word,unrelated,lowercase,808.39,1
2,90,word,unrelated,lowercase,638.93,1
2,91,word,unrelated,alternating,536.68,1
2,92,word,unrelated,alternating,616.05,1
2,93,word,unrelated,alternating,666.5,1
2,94,word,unrelated,alternating,595.86,1
2,95,word,unrelated,alternating,737.15,1
2,96,word,unrelated,alternating,759.69,1
2,97,word,unrelated,alternating,599,1
2,98,word,unrelated,alternating,752.7,1
2,99,word,unrelated,alternating,623.63,1
2,100,word,unrelated,alternating,721.73,1
2,101,word,unrelated,alternating,678.68,1
2,102,word,unrelated,alternating,722.02,1
2,103,word,unrelated,alternating,694.83,1
2,104,word,unrelated,alternating,516.16,1
2,105,word,unrelated,alternating,644.07,1
2,106,word,unrelated,alternating,648.46,1
2,107,word,unrelated,alternating,725.69,1
2,108,word,unrelated,alternating,556.37,1
2,109,word,unrelated,alternating,581.17,1
2,110,word,unrelated,alternating,806.8,1
2,111,word,unrelated,alternating,836.55,1
2,112,word,unrelated,alternating,567.03,1
2,113,word,unrelated,alternating,603.37,1
2,114,word,unrelated,alternating,611.92,1
2,115,word,unrelated,alternating,902.84,1
2,116,word,unrelated,alternating,677.3,1
2,117,word,unrelated,alternating,608.63,1
2,118,word,unrelated,alternating,656.51,1
2,119,word,unrelated,alternating,675.39,1
2,120,word,unrelated,alternating,641.9,1
3,1,word,repeated,lowercase,757.8,1
3,2,word,repeated,lowercase,528.3,1
3,3,word,repeated,lowercase,647.47,1
3,4,word,repeated,lowercase,467.93,1
3,5,word,repeated,lowercase,574.94,1
3,6,word,repeated,lowercase,938.46,1
3,7,word,repeated,lowercase,785.93,1
3,8,word,repeated,lowercase,565.51,1
3,9,word,repeated,lowercase,670.45,1
3,10,word,repeated,lowercase,692.74,1
3,11,word,repeated,lowercase,578.75,1
3,12,word,repeated,lowercase,552.83,1
3,13,word,repeated,lowercase,671.85,1
3,14,word,repeated,lowercase,756.01,1
3,15,word,repeated,lowercase,855.12,1
3,16,word,repeated,lowercase,645.33,1
3,17,word,repeated,lowercase,615.22,1
3,18,word,repeated,lowercase,480.03,1
3,19,word,repeated,lowercase,540.73,1
3,20,word,repeated,lowercase,522.33,1
3,21,word,repeated,lowercase,453.2,1
3,22,word,repeated,lowercase,699.47,1
3,23,word,repeated,lowercase,505.77,1
3,24,word,repeated,lowercase,808.37,1
3,25,word,repeated,lowercase,556.38,1
3,26,word,repeated,lowercase,521.73,1
3,27,word,repeated,lowercase,712.55,1
3,28,word,repeated,lowercase,513.85,1
3,29,word,repeated,lowercase,463.42,1
3,30,word,repeated,lowercase,492.9,1
3,31,word,repeated,alternating,653.79,1
3,32,word,repeated,alternating,472.77,1
3,33,word,repeated,alternating,671.3,1
3,34,word,repeated,alternating,828.72,1
3,35,word,repeated,alternating,507.24,1
3,36,word,repeated,alternating,643.08,1
3,37,word,repeated,alternating,800.97,1
3,38,word,repeated,alternating,604.84,1
3,39,word,repeated,alternating,552.3,1
3,40,word,repeated,alternating,495.74,1
3,41,word,repeated,alternating,563.65,1
3,42,word,repeated,alternating,534.38,1
3,43,word,repeated,alternating,552.79,1
3,44,word,repeated,alternating,676.49,1
3,45,word,repeated,alternating,472.4,1
3,46,word,repeated,alternating,591.32,1
3,47,word,repeated,alternating,502.76,1
3,48,word,repeated,alternating,420.32,1
3,49,word,repeated,alternating,566.12,1
3,50,word,repeated,alternating,498.1,1
3,51,word,repeated,alternating,418.55,1
3,52,word,repeated,alternating,935.03,1
3,53,word,repeated,alternating,583.81,1
3,54,word,repeated,alternating,641.26,1
3,55,word,repeated,alternating,527.93,1
3,56,word,repeated,alternating,585.06,1
3,57,word,repeated,alternating,475.06,1
3,58,word,repeated,alternating,752.06,1
3,59,word,repeated,alternating,743.79,1
3,60,word,repeated,alternating,617.99,1
3,61,word,unrelated,lowercase,909.28,1
3,62,word,unrelated,lowercase,496.42,1
3,63,word,unrelated,lowercase,706.77,1
3,64,word,unrelated,lowercase,607.72,1
3,65,word,unrelated,lowercase,800.1,1
3,66,word,unrelated,lowercase,702.53,1
3,67,word,unrelated,lowercase,544.18,1
3,68,word,unrelated,lowercase,493.88,1
3,69,word,unrelated,lowercase,669.02,1
3,70,word,unrelated,lowercase,733.53,1
3,71,word,unrelated,lowercase,467.55,1
3,72,word,unrelated,lowercase,610.61,1
3,73,word,unrelated,lowercase,514.54,1
